# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
lkaj	tomar kaj sesh hoise..?	en-US	
lkajj	tomar kaj sesh hobe kokhon..?	en-US	
lkk	tumi koi asila. ?	en-US	
ll	tmr ki khobor..? kemon acho. ?	en-US	
lll	tomar shorirer obostha ekhon kmn. ?	en-US	
ln	tmi nasta korso. ?	en-US	
loc	location pathacci	en-US	
lol	hasi peye gelo 😄	en-US	
ltc	luna tmi tmr kheyal raikho tmi tmr jotno nio	en-US	
lv	tmi vat khaiso?	en-US	
ma	mashaallah	en-US	
mad	azaan ayater madrasay	en-US	
mark	Market e jaitesi	en-US	
maybe	hoyto parbo	en-US	
mdn	MD NAHID	en-US	
mgd	bhalo asi, tumi?	en-US	
mi	minit opekkha koro	en-US	
miss	ami tomake khub miss kortesi 😢	en-US	
mistake	vhule gesilam ami sorry	en-US	
mm	mesiner selai kaj kori.	en-US	
modu	mon cay ekhn tmk rosmalair moto chete cushe kamriye  chitkar kore khai r lagai	en-US	
moja	moja hoise onek	en-US	
mone	mone koraya daw	en-US	
monekori	ha, ami o eta mone kori	en-US	
moodkh	moodta kharap	en-US	
moodvh	mood ta ekdom set	en-US	
mosj	mosjide achi. ber hoya call dei tmk 📞	en-US	
mota	motamoti kaj sesh hoye ashtese	en-US	
msg	message pathao pls	en-US	
msgj	Message er jawab dao	en-US	
msgp	tomar message peyechi	en-US	
n	nasta korsi.	en-US	
nah	na, ami parbo na	en-US	
nam	namaz porcho?	en-US	
net	net chole geche	en-US	
netnai	ajke network durbol. net slow.	en-US	
netok	net thik ache akhon	en-US	
netp	net problem hocche 📶❌	en-US	
nets	net slow cholche	en-US	
next	cholo ager step e jai	en-US	
nk	knock dicchi	en-US	
nkber	bahire ber hoye knock dicchi tomake.	en-US	
nkbsy	basay giye knock dicchi tomake.	en-US	
nkd	pore message dio 📩	en-US	
nkdd	kaj sesh kore aisa nk daw tumi.	en-US	
nkdkn	dkn e giye knock dicchi tomake.	en-US	
nkk	pore message deii.	en-US	
nkkh	khaya nk daw.	en-US	
nkr	rate nk dio parle	en-US	
nks	sokale nk dio kotha bolbone.	en-US	
nn	nasta korsi. tmi. ?	en-US	
no	na, ota thik na	en-US	
np	kono somossa nai	en-US	
npb	kichu mone koro na please	en-US	
num	amar number … 01995845496	en-US	
nums	number ta save kore rekhechi	en-US	
o	Acchha.	en-US	
ob	Obosshoi..	en-US	
off	sound off koira video call dio.  🤳 🤐	en-US	
offl	Offline hobo	en-US	
onk	onek beshi shundor lagtase tomake mashallah	en-US	
onkk	ami tomake onek bhalobashi	en-US	
onl	Online acchi ami 🌐	en-US	
oo	Accha thik ache..	en-US	
ooo	Acchha bujhchi	en-US	
ord	order nicchi customer asche...! ami kaj sesh korei tomake knock dicchi.	en-US	
oww	Woohoo 🔥	en-US	
p	tmr amar vhlothakay jei manushta badha dei. sei manushtaki ase.?	en-US	
paisi	tomake peyechi, eita ei jibon er shera upohar	en-US	
ph	phone e kotha bolbo?	en-US	
pic	pic pathao	en-US	
plan	ajke kono plan ache?	en-US	
pn	pore nk dio.	en-US	
pore	pore kotha boli kaj kori ektu. free hoi.	en-US	
profileupd	profile update korechi, check koro	en-US	
q	ki question korte chao? ❓	en-US	
r	Ami r aschi na	en-US	
r8	hmm, right 🆗	en-US	
raat	raat bhalo katuk tomar	en-US	
ranna	Ranna sesh kore *khaya* nio.	en-US	
ras	ami rastay, ami aschi.	en-US	
rat	rat e ki korba?	en-US	
rateboli	aaj raate kotha boli ei bepare	en-US	
ratt	rat e ki khaba?	en-US	
rdy	ami ready	en-US	
remem	amar jonno doa koro, ami o tomake mone rakhbo	en-US	
repo	https://github.com/ismaailnahid?tabrepositories	en-US	
ret	return kore daw 🔄	en-US	
rly	sotti tumi etai mone koro?	en-US	
rna	chharo, ar bolte chai na	en-US	
ruok	tumi bhalo aso to?	en-US	
ruq	ruqaiya	en-US	
s	suya asi.	en-US	
sabr	sobor koro, allah sob dekhen	en-US	
sad	ajke mon kharap 😔	en-US	
sal	sanjida ashraf luna	en-US	
savage	savage reply diso tumi	en-US	
saw	sallallahu alaihi wasallam	en-US	
say	something bolo 🗣️	en-US	
see	shighroi tomar sathe dekha hobe	en-US	
self	selfie pathao	en-US	
ser	ami sotti bolchi, seriously!	en-US	
sesh	eta amr sesh kotha tai text ta boro kore ekbare likhe dilam. ekbare purota sesh kore niba. .	en-US	
sexna	sex r jiboneo korum na ami	en-US	
shokal	shokal bhalo gelo?	en-US	
shotti	shotti kotha, tumi onek bhalo	en-US	
shunno	tomake chara ami shunno	en-US	
sir	sirite uthtasi upore	en-US	
sirr	sirite namtasi niche.	en-US	
slp	ghumaccho?	en-US	
smith	smithxidan@gmail.com	en-US	
sms	amar msg paiso?	en-US	
smy	ekhono busy? amar jonno time ache?	en-US	
sobpari	ami tomar jonno sob kichu korte pari	en-US	
sohoj	shohoj ekta bepar 🙂	en-US	
somoy	Koto somoy lagbe?	en-US	
sotti	sotti kotha bolte gele....	en-US	
sr	shuvo ratri amar bhalobasha 🌙💤💖	en-US	
sry	ami dukhkhoitto	en-US	
sshot	ekta screenshot pathao 📸	en-US	
su	shuno ekta kotha boli	en-US	
sub	subhanallah	en-US	
subh	subhanahu wa ta’ala	en-US	
sunb	r jiboneo tmi shunbana ei kothata	en-US	
sx	tmr sathe sex korte cai.? ador jotno thik thak vabhe korte cai. jotnota aro shundor kore korte cai	en-US	
t	tumi.?	en-US	
ta	tar somoy.	en-US	
tala	dkn tala dei. opekkha koro amr jonno.	en-US	
taratari	taratari cholo, deri hocche	en-US	
taw	tawakkul alallah	en-US	
taww	tawakkul alallah, vorsa allah er upor 🤲	en-US	
tc	bhalo thako, shustho thako	en-US	
tea	ek cup cha khaw ☕	en-US	
tend	tension diona	en-US	
tenn	tension niona	en-US	
thik	Hea, thik bolcho	en-US	
thikase	thik ase, ami bujhte perechi	en-US	
thikhobe	thik hoye jabe	en-US	
thikna	na, ota thik na	en-US	
think	ami tomake chhara kichu bhabi na	en-US	
time	time pele amk bolo	en-US	
tkw	https://takapaw.vercel.app/	en-US	
tmiou	tmi  aushadh khaiso?	en-US	
tmkchara	Tomake chara amar keu nai 💔	en-US	
tmkdor	shorir bhalo rakho, Tomake amar onek beshi dorkar	en-US	
try	ekbar try kore dekho 💡	en-US	
tt	tumio...	en-US	
ty	thank you	en-US	
uff	uff ki sundor 😍	en-US	
upd	update dio news ta	en-US	
us	united states	en-US	
uthc	Ami uthchi,	en-US	
utt	uthte parle nk dio 🌅	en-US	
v	bolo..	en-US	
vbsy	vaiar basay baniyanogor	en-US	
vh	Vhaijan..	en-US	
vhul	vhul hoye gese ❌	en-US	
vid	video call 🤙 daw.	en-US	
vidd	video call korbo?	en-US	
voice	voice record pathao 🎤	en-US	
vt	vhalo thaiko	en-US	
vv	Khaite Boschi.!	en-US	
vvv	Vat khbo.!	en-US	
w	nk call dicchi ektu opekkha koro amar jonno	en-US	
wa	waalikum as salaam.	en-US	
waa	wa alaikumussalam wa rahmatullah	en-US	
wl	you're welcome	en-US	
wlv	welcome vai 🤝	en-US	
world	tomar sathe sara jibon thakte chai	en-US	
wowu	wow unbelievable 🤯	en-US	
ww	washroom e asi poti kortasi.	en-US	
www	washroom theke ber hoya nk call dio.	en-US	
wy	tahole tmi WY bujhe nk dio	en-US	
xn	www.xnxx.tv	en-US	
y	Alhamdulillah.	en-US	
yt	youtube.com	en-US	
yy	alhamdulillah bhalo.	en-US	
yyy	alhamdulillah sobai bhalo	en-US	
yyyy	alhamdulillah shob thik ache	en-US	
zbn	এটা বাংলায় অনুবাদ করো	en-US	
zbug	নিচের কোডে সমস্যা কোথায়? ঠিক করো ও কারণ লেখো	en-US	
zcomm	কোডটিতে কমেন্ট যুক্ত করো	en-US	
zdet	er details bolo amk dhape dhape	en-US	
zdhh	onnek dhonnobad, apnar shohayotar jonno	en-US	
zexp	উপরোক্ত বিষয়ের বিস্তারিত ব্যাখ্যা দাও	en-US	
zexpp	এই কোডের ব্যাখ্যা বাংলায় দাও	en-US	
zfadd	add koro feature ghuli	en-US	
zfix	এই কোডের ভুল ঠিক করো ও ব্যাখ্যা দাও	en-US	
zfki	ar kiki feature add kora jay. ?	en-US	
zrespon	ei code ke sob device er jonno responsive koro shundor kore	en-US	
zuntouch	ebar amr puro code ti sompurno kore daw untouch kore.	en-US	
zvul	ekhane kiki vhul ache ber koro.	en-US	
